Task,Due Date,Estimated Duration,Priority,Description
Task 77,2024-10-30 12:30:54.780088,5,Low,Client call
Task 78,2024-11-07 12:30:54.780088,2,Low,Urgent meeting
Task 79,2024-11-09 12:30:54.780088,6,Medium,Urgent meeting
Task 80,2024-10-22 12:30:54.780088,3,Low,Review document
Task 81,2024-11-08 12:30:54.780088,7,Medium,Urgent meeting
Task 82,2024-11-13 12:30:54.780088,2,Low,Urgent meeting
Task 83,2024-10-25 12:30:54.780088,3,Low,Prepare presentation
Task 84,2024-10-26 12:30:54.780088,6,Medium,Prepare presentation
Task 85,2024-11-01 12:30:54.780088,3,Low,Prepare presentation
Task 86,2024-11-01 12:30:54.780088,6,Medium,Review document
Task 87,2024-11-03 12:30:54.780088,4,Low,Review document
Task 88,2024-11-14 12:30:54.780088,2,Low,Review document
Task 89,2024-11-03 12:30:54.780088,3,Medium,Urgent meeting
Task 90,2024-10-31 12:30:54.780088,5,Medium,Client call
Task 91,2024-10-29 12:30:54.780088,7,Medium,Team brainstorming
Task 92,2024-11-03 12:30:54.780088,5,High,Team brainstorming
Task 93,2024-10-18 12:30:54.780088,4,Low,Team brainstorming
Task 94,2024-10-18 12:30:54.780088,4,Low,Client call
Task 95,2024-10-18 12:30:54.780088,4,Medium,Team brainstorming
Task 96,2024-10-18 12:30:54.780088,5,Low,Review document
Task 97,2024-10-22 12:30:54.780088,5,Low,Urgent meeting
Task 98,2024-11-02 12:30:54.780088,1,Low,Review document
Task 99,2024-11-15 12:30:54.780088,2,High,Prepare presentation
Task 100,2024-11-01 12:30:54.780088,4,Medium,Team brainstorming
Task 101,2024-10-31 12:30:54.780088,7,High,Client call
Task 102,2024-11-02 12:30:54.780088,3,High,Urgent meeting
Task 103,2024-10-21 12:30:54.780088,1,High,Team brainstorming
Task 104,2024-11-11 12:30:54.780088,4,Medium,Urgent meeting
Task 105,2024-10-19 12:30:54.780088,5,High,Prepare presentation
Task 106,2024-10-31 12:30:54.780088,7,Medium,Team brainstorming
Task 107,2024-10-22 12:30:54.780088,4,Low,Prepare presentation
Task 108,2024-11-05 12:30:54.780088,6,Low,Client call
Task 109,2024-11-12 12:30:54.780088,2,High,Urgent meeting
Task 110,2024-11-05 12:30:54.780088,6,Medium,Team brainstorming
Task 111,2024-10-22 12:30:54.780088,3,Medium,Prepare presentation
Task 112,2024-11-04 12:30:54.780088,1,High,Team brainstorming
Task 113,2024-10-18 12:30:54.780088,7,Low,Review document
Task 114,2024-10-27 12:30:54.780088,4,High,Team brainstorming
Task 115,2024-10-26 12:30:54.780088,3,Medium,Team brainstorming
Task 116,2024-11-04 12:30:54.780088,3,Medium,Review document
Task 117,2024-11-04 12:30:54.780088,1,High,Client call
Task 118,2024-11-03 12:30:54.780088,1,High,Team brainstorming
Task 119,2024-10-18 12:30:54.780088,5,Low,Prepare presentation
Task 120,2024-11-10 12:30:54.780088,7,High,Client call
Task 121,2024-11-06 12:30:54.780088,3,High,Urgent meeting
Task 122,2024-11-10 12:30:54.780088,7,Low,Urgent meeting
Task 123,2024-10-21 12:30:54.780088,4,Medium,Client call
Task 124,2024-10-20 12:30:54.780088,7,Low,Team brainstorming
Task 125,2024-10-20 12:30:54.780088,7,Medium,Client call
Task 126,2024-11-10 12:30:54.780088,1,Medium,Prepare presentation
Task 127,2024-11-08 12:30:54.780088,4,Medium,Client call
Task 128,2024-11-03 12:30:54.780088,6,Low,Prepare presentation
Task 129,2024-10-19 12:30:54.780088,4,High,Client call
Task 130,2024-10-30 12:30:54.780088,1,High,Urgent meeting
Task 131,2024-10-25 12:30:54.780088,2,Medium,Urgent meeting
Task 132,2024-10-26 12:30:54.780088,1,Medium,Team brainstorming
Task 133,2024-10-23 12:30:54.780088,1,Low,Prepare presentation
Task 134,2024-11-08 12:30:54.780088,5,High,Team brainstorming
Task 135,2024-10-30 12:30:54.780088,6,High,Review document
Task 136,2024-10-23 12:30:54.780088,1,High,Client call
Task 137,2024-11-10 12:30:54.780088,3,Medium,Client call
Task 138,2024-10-30 12:30:54.780088,2,Medium,Prepare presentation
Task 139,2024-10-31 12:30:54.780088,5,Low,Urgent meeting
Task 140,2024-11-11 12:30:54.780088,4,Medium,Prepare presentation
Task 141,2024-11-01 12:30:54.780088,1,Medium,Team brainstorming
Task 142,2024-10-27 12:30:54.780088,3,Low,Team brainstorming
Task 143,2024-11-08 12:30:54.780088,6,Low,Review document
Task 144,2024-10-31 12:30:54.780088,6,Medium,Prepare presentation
Task 145,2024-10-27 12:30:54.780088,7,Medium,Urgent meeting
Task 146,2024-10-31 12:30:54.780088,4,Low,Urgent meeting
Task 147,2024-10-18 12:30:54.780088,5,Medium,Prepare presentation
Task 148,2024-10-18 12:30:54.780088,7,High,Team brainstorming
Task 149,2024-11-07 12:30:54.780088,7,Low,Urgent meeting
Task 150,2024-10-30 12:30:54.780088,2,Medium,Urgent meeting
Task 151,2024-11-12 12:30:54.780088,7,Low,Review document
Task 152,2024-11-10 12:30:54.780088,7,Medium,Prepare presentation
Task 153,2024-10-27 12:30:54.780088,7,High,Team brainstorming
Task 154,2024-11-15 12:30:54.780088,4,Medium,Urgent meeting
Task 155,2024-10-26 12:30:54.780088,4,Low,Team brainstorming
Task 156,2024-10-29 12:30:54.780088,6,Medium,Urgent meeting
Task 157,2024-11-13 12:30:54.780088,3,Low,Prepare presentation
Task 158,2024-11-12 12:30:54.780088,2,Medium,Team brainstorming
Task 159,2024-11-05 12:30:54.780088,7,Medium,Team brainstorming
Task 160,2024-10-23 12:30:54.780088,3,Low,Client call
Task 161,2024-10-24 12:30:54.780088,5,High,Prepare presentation
Task 162,2024-10-24 12:30:54.780088,6,High,Review document
Task 163,2024-11-03 12:30:54.780088,1,Low,Prepare presentation
Task 164,2024-10-22 12:30:54.780088,3,Low,Prepare presentation
Task 165,2024-11-04 12:30:54.780088,3,High,Urgent meeting
Task 166,2024-11-03 12:30:54.780088,2,Medium,Urgent meeting
Task 167,2024-11-15 12:30:54.780088,3,Medium,Client call
Task 168,2024-11-11 12:30:54.780088,2,Low,Prepare presentation
Task 169,2024-10-22 12:30:54.780088,4,High,Team brainstorming
Task 170,2024-11-04 12:30:54.780088,2,Medium,Urgent meeting
Task 171,2024-11-14 12:30:54.780088,4,Medium,Urgent meeting
Task 172,2024-10-28 12:30:54.780088,5,Low,Review document
Task 173,2024-10-24 12:30:54.780088,3,High,Prepare presentation
Task 174,2024-10-22 12:30:54.780088,3,Low,Prepare presentation
Task 175,2024-10-18 12:30:54.780088,6,Low,Review document
Task 176,2024-11-08 12:30:54.780088,6,High,Review document
Task 177,2024-11-05 12:30:54.780088,7,Medium,Client call
Task 178,2024-11-15 12:30:54.780088,1,Medium,Review document
Task 179,2024-11-08 12:30:54.780088,2,Low,Prepare presentation
Task 180,2024-10-23 12:30:54.780088,2,Low,Client call
Task 181,2024-10-24 12:30:54.780088,2,High,Review document
Task 182,2024-11-05 12:30:54.780088,4,Low,Urgent meeting
Task 183,2024-11-11 12:30:54.780088,4,Low,Prepare presentation
Task 184,2024-10-25 12:30:54.780088,2,Medium,Review document
Task 185,2024-10-31 12:30:54.780088,2,High,Prepare presentation
Task 186,2024-11-03 12:30:54.780088,4,High,Urgent meeting
Task 187,2024-11-11 12:30:54.780088,7,High,Team brainstorming
Task 188,2024-11-10 12:30:54.780088,6,Medium,Prepare presentation
Task 189,2024-11-13 12:30:54.780088,3,Medium,Review document
Task 190,2024-10-21 12:30:54.780088,4,Low,Team brainstorming
Task 191,2024-10-21 12:30:54.780088,6,Medium,Prepare presentation
Task 192,2024-10-23 12:30:54.780088,6,Medium,Client call
Task 193,2024-10-25 12:30:54.780088,1,Low,Review document
Task 194,2024-10-24 12:30:54.780088,3,Low,Review document
Task 195,2024-10-24 12:30:54.780088,6,Low,Client call
Task 196,2024-11-09 12:30:54.780088,7,Low,Urgent meeting
Task 197,2024-10-28 12:30:54.780088,7,Low,Team brainstorming
Task 198,2024-11-08 12:30:54.780088,4,Medium,Urgent meeting
Task 199,2024-11-04 12:30:54.780088,6,Medium,Urgent meeting
Task 200,2024-10-25 12:30:54.780088,1,Medium,Prepare presentation
Task 201,2024-10-24 12:30:54.780088,4,Medium,Client call
Task 202,2024-11-13 12:30:54.780088,3,Medium,Review document
Task 203,2024-11-03 12:30:54.780088,2,High,Client call
Task 204,2024-11-01 12:30:54.780088,4,Medium,Urgent meeting
Task 205,2024-11-11 12:30:54.780088,5,Low,Team brainstorming
Task 206,2024-11-01 12:30:54.780088,7,Low,Prepare presentation
Task 207,2024-10-18 12:30:54.780088,5,Medium,Urgent meeting
Task 208,2024-11-01 12:30:54.780088,4,Medium,Client call
Task 209,2024-10-24 12:30:54.780088,6,High,Prepare presentation
Task 210,2024-11-08 12:30:54.780088,1,Medium,Review document
Task 211,2024-11-01 12:30:54.780088,7,Low,Urgent meeting
Task 212,2024-11-13 12:30:54.780088,5,Low,Client call
Task 213,2024-10-18 12:30:54.780088,5,Medium,Prepare presentation
Task 214,2024-10-31 12:30:54.780088,5,High,Urgent meeting
Task 215,2024-11-13 12:30:54.780088,1,Medium,Client call
Task 216,2024-10-27 12:30:54.780088,5,Low,Review document
Task 217,2024-11-05 12:30:54.780088,6,Medium,Review document
Task 218,2024-10-21 12:30:54.780088,1,Medium,Urgent meeting
Task 219,2024-11-07 12:30:54.780088,7,Medium,Urgent meeting
Task 220,2024-10-20 12:30:54.780088,1,Low,Client call
Task 221,2024-11-03 12:30:54.780088,1,Medium,Team brainstorming
Task 222,2024-11-08 12:30:54.780088,1,Medium,Prepare presentation
Task 223,2024-10-19 12:30:54.780088,1,High,Client call
Task 224,2024-11-14 12:30:54.780088,4,Low,Client call
Task 225,2024-10-26 12:30:54.780088,7,Low,Team brainstorming
Task 226,2024-11-01 12:30:54.780088,2,High,Team brainstorming
Task 227,2024-10-30 12:30:54.780088,5,High,Client call
Task 228,2024-10-24 12:30:54.780088,7,High,Prepare presentation
Task 229,2024-11-13 12:30:54.780088,6,Low,Client call
Task 230,2024-10-19 12:30:54.780088,7,High,Review document
Task 231,2024-11-10 12:30:54.780088,6,High,Prepare presentation
Task 232,2024-10-25 12:30:54.780088,2,Medium,Client call
Task 233,2024-11-09 12:30:54.780088,6,High,Team brainstorming
Task 234,2024-10-20 12:30:54.780088,1,Low,Team brainstorming
Task 235,2024-11-13 12:30:54.780088,2,High,Team brainstorming
Task 236,2024-10-28 12:30:54.780088,4,Low,Prepare presentation
Task 237,2024-11-06 12:30:54.780088,1,Medium,Team brainstorming
Task 238,2024-10-28 12:30:54.780088,7,Low,Review document
Task 239,2024-10-27 12:30:54.780088,5,Medium,Urgent meeting
Task 240,2024-10-25 12:30:54.780088,6,High,Prepare presentation
Task 241,2024-10-23 12:30:54.780088,2,Low,Urgent meeting
Task 242,2024-11-05 12:30:54.780088,1,High,Urgent meeting
Task 243,2024-10-23 12:30:54.780088,3,High,Review document
Task 244,2024-11-01 12:30:54.780088,6,Medium,Urgent meeting
Task 245,2024-10-24 12:30:54.780088,1,Low,Review document
Task 246,2024-10-25 12:30:54.780088,4,High,Client call
Task 247,2024-10-26 12:30:54.780088,1,Low,Review document
Task 248,2024-10-23 12:30:54.780088,7,High,Team brainstorming
Task 249,2024-11-12 12:30:54.780088,1,Low,Prepare presentation
Task 250,2024-10-19 12:30:54.780088,5,Medium,Team brainstorming
Task 251,2024-10-31 12:30:54.780088,6,Medium,Client call
Task 252,2024-11-14 12:30:54.780088,2,Low,Prepare presentation
Task 253,2024-10-18 12:30:54.780088,7,Medium,Team brainstorming
Task 254,2024-10-18 12:30:54.780088,4,High,Team brainstorming
Task 255,2024-10-18 12:30:54.780088,4,Low,Urgent meeting
Task 256,2024-11-07 12:30:54.780088,1,Low,Team brainstorming
Task 257,2024-11-13 12:30:54.780088,2,Medium,Prepare presentation
Task 258,2024-10-22 12:30:54.780088,2,Low,Client call
Task 259,2024-11-01 12:30:54.780088,7,Medium,Urgent meeting
Task 260,2024-11-13 12:30:54.780088,3,High,Client call
Task 261,2024-10-27 12:30:54.780088,1,Low,Team brainstorming
Task 262,2024-11-07 12:30:54.780088,3,Low,Team brainstorming
Task 263,2024-11-10 12:30:54.780088,5,High,Review document
Task 264,2024-11-06 12:30:54.780088,2,Medium,Team brainstorming
Task 265,2024-11-11 12:30:54.780088,2,Medium,Client call
Task 266,2024-10-24 12:30:54.780088,5,Low,Review document
Task 267,2024-10-20 12:30:54.780088,5,High,Review document
Task 268,2024-10-25 12:30:54.780088,3,Medium,Urgent meeting
Task 269,2024-11-15 12:30:54.780088,6,High,Review document
Task 270,2024-11-12 12:30:54.780088,4,High,Prepare presentation
Task 271,2024-10-19 12:30:54.780088,7,Medium,Team brainstorming
Task 272,2024-11-11 12:30:54.780088,5,Low,Prepare presentation
Task 273,2024-11-04 12:30:54.780088,5,Low,Urgent meeting
Task 274,2024-10-24 12:30:54.780088,5,Medium,Team brainstorming
Task 275,2024-11-10 12:30:54.780088,4,High,Team brainstorming
Task 276,2024-11-14 12:30:54.780088,5,Low,Review document
Task 277,2024-10-29 12:30:54.780088,1,High,Prepare presentation
Task 278,2024-10-31 12:30:54.780088,2,High,Client call
Task 279,2024-10-29 12:30:54.780088,5,High,Review document
Task 280,2024-11-01 12:30:54.780088,1,Medium,Urgent meeting
Task 281,2024-10-19 12:30:54.780088,7,Medium,Team brainstorming
Task 282,2024-10-18 12:30:54.780088,2,Medium,Team brainstorming
Task 283,2024-11-03 12:30:54.780088,5,High,Urgent meeting
Task 284,2024-10-20 12:30:54.780088,1,Medium,Review document
Task 285,2024-11-04 12:30:54.780088,5,Medium,Team brainstorming
Task 286,2024-11-13 12:30:54.780088,3,Medium,Prepare presentation
Task 287,2024-11-13 12:30:54.780088,1,High,Urgent meeting
Task 288,2024-10-28 12:30:54.780088,4,Medium,Client call
Task 289,2024-11-07 12:30:54.780088,7,Medium,Client call
Task 290,2024-10-25 12:30:54.780088,6,Medium,Prepare presentation
Task 291,2024-10-29 12:30:54.780088,2,Medium,Prepare presentation
Task 292,2024-11-12 12:30:54.780088,3,Medium,Team brainstorming
Task 293,2024-11-02 12:30:54.780088,3,High,Review document
Task 294,2024-10-21 12:30:54.780088,7,Low,Prepare presentation
Task 295,2024-11-10 12:30:54.780088,3,Medium,Review document
Task 296,2024-10-24 12:30:54.780088,4,Medium,Team brainstorming
Task 297,2024-11-13 12:30:54.780088,3,Medium,Prepare presentation
Task 298,2024-10-20 12:30:54.780088,7,High,Client call
Task 299,2024-11-01 12:30:54.780088,6,High,Urgent meeting
Task 300,2024-11-13 12:30:54.780088,1,Medium,Team brainstorming
Task 301,2024-10-18 12:30:54.780088,7,Medium,Prepare presentation
Task 302,2024-10-25 12:30:54.780088,7,Low,Urgent meeting
Task 303,2024-11-06 12:30:54.780088,6,Low,Prepare presentation
Task 304,2024-11-10 12:30:54.780088,1,Low,Client call
Task 305,2024-10-21 12:30:54.780088,5,High,Client call
Task 306,2024-10-18 12:30:54.780088,2,Medium,Team brainstorming
Task 307,2024-10-29 12:30:54.780088,1,Medium,Review document
Task 308,2024-10-27 12:30:54.780088,1,Low,Team brainstorming
Task 309,2024-11-02 12:30:54.780088,4,High,Team brainstorming
Task 310,2024-10-28 12:30:54.780088,2,Medium,Urgent meeting
Task 311,2024-10-23 12:30:54.780088,6,High,Team brainstorming
Task 312,2024-10-27 12:30:54.780088,6,High,Team brainstorming
Task 313,2024-11-08 12:30:54.780088,2,Medium,Client call
Task 314,2024-11-14 12:30:54.780088,7,Medium,Review document
Task 315,2024-11-15 12:30:54.780088,3,High,Urgent meeting
Task 316,2024-11-04 12:30:54.780088,2,Medium,Review document
Task 317,2024-11-07 12:30:54.780088,7,Medium,Review document
Task 318,2024-10-23 12:30:54.780088,1,Medium,Client call
Task 319,2024-10-22 12:30:54.780088,4,High,Urgent meeting
Task 320,2024-11-12 12:30:54.780088,3,Low,Client call
Task 321,2024-10-29 12:30:54.780088,6,High,Prepare presentation
Task 322,2024-10-24 12:30:54.780088,1,High,Prepare presentation
Task 323,2024-11-06 12:30:54.780088,2,High,Review document
Task 324,2024-10-30 12:30:54.780088,4,High,Prepare presentation
Task 325,2024-10-25 12:30:54.780088,3,High,Client call
Task 326,2024-11-02 12:30:54.780088,4,Low,Review document
Task 327,2024-11-08 12:30:54.780088,7,High,Client call
Task 328,2024-11-01 12:30:54.780088,7,High,Client call
Task 329,2024-11-01 12:30:54.780088,1,Low,Prepare presentation
Task 330,2024-10-27 12:30:54.780088,5,High,Review document
Task 331,2024-11-15 12:30:54.780088,7,Medium,Client call
Task 332,2024-10-21 12:30:54.780088,3,Medium,Review document
Task 333,2024-11-08 12:30:54.780088,4,High,Prepare presentation
Task 334,2024-11-10 12:30:54.780088,3,Medium,Review document
Task 335,2024-10-21 12:30:54.780088,7,Medium,Urgent meeting
Task 336,2024-11-10 12:30:54.780088,2,High,Urgent meeting
Task 337,2024-10-23 12:30:54.780088,2,Medium,Review document
Task 338,2024-10-19 12:30:54.780088,6,Medium,Team brainstorming
Task 339,2024-10-27 12:30:54.780088,3,Low,Urgent meeting
Task 340,2024-10-30 12:30:54.780088,3,High,Review document
Task 341,2024-11-02 12:30:54.780088,6,High,Team brainstorming
Task 342,2024-11-04 12:30:54.780088,6,High,Team brainstorming
Task 343,2024-10-28 12:30:54.780088,7,Low,Prepare presentation
Task 344,2024-10-19 12:30:54.780088,5,High,Review document
Task 345,2024-11-11 12:30:54.780088,1,Medium,Client call
Task 346,2024-10-26 12:30:54.780088,5,High,Client call
Task 347,2024-11-01 12:30:54.780088,6,Low,Urgent meeting
Task 348,2024-11-13 12:30:54.780088,3,High,Review document
Task 349,2024-10-30 12:30:54.780088,1,High,Client call
Task 350,2024-10-30 12:30:54.780088,5,Low,Review document
Task 351,2024-11-10 12:30:54.780088,1,Low,Prepare presentation
Task 352,2024-11-13 12:30:54.780088,1,High,Team brainstorming
Task 353,2024-10-27 12:30:54.780088,3,High,Review document
Task 354,2024-11-11 12:30:54.780088,6,Low,Client call
Task 355,2024-11-04 12:30:54.780088,3,Low,Review document
Task 356,2024-10-21 12:30:54.780088,2,High,Prepare presentation
Task 357,2024-10-26 12:30:54.780088,1,High,Review document
Task 358,2024-10-25 12:30:54.780088,7,High,Prepare presentation
Task 359,2024-10-30 12:30:54.780088,3,Low,Review document
Task 360,2024-11-05 12:30:54.780088,2,Medium,Urgent meeting
Task 361,2024-10-26 12:30:54.780088,1,Medium,Team brainstorming
Task 362,2024-11-14 12:30:54.780088,3,Medium,Review document
Task 363,2024-11-11 12:30:54.780088,2,Medium,Urgent meeting
Task 364,2024-10-23 12:30:54.780088,4,Low,Urgent meeting
Task 365,2024-11-05 12:30:54.780088,3,High,Team brainstorming
Task 366,2024-11-06 12:30:54.780088,3,Medium,Prepare presentation
Task 367,2024-11-09 12:30:54.780088,2,Low,Client call
Task 368,2024-11-06 12:30:54.780088,7,Low,Urgent meeting
Task 369,2024-10-31 12:30:54.780088,2,Medium,Client call
Task 370,2024-10-29 12:30:54.780088,7,Medium,Team brainstorming
Task 371,2024-10-25 12:30:54.780088,6,Medium,Urgent meeting
Task 372,2024-10-27 12:30:54.780088,5,High,Client call
Task 373,2024-10-31 12:30:54.780088,1,Medium,Team brainstorming
Task 374,2024-10-29 12:30:54.780088,6,Low,Prepare presentation
Task 375,2024-11-15 12:30:54.780088,1,High,Team brainstorming
Task 376,2024-10-29 12:30:54.780088,4,Low,Team brainstorming
Task 377,2024-11-02 12:30:54.780088,4,Medium,Review document
Task 378,2024-11-09 12:30:54.780088,7,High,Prepare presentation
Task 379,2024-10-22 12:30:54.780088,1,Medium,Review document
Task 380,2024-11-02 12:30:54.780088,1,Low,Client call
Task 381,2024-11-10 12:30:54.780088,4,High,Prepare presentation
Task 382,2024-11-12 12:30:54.780088,2,Low,Team brainstorming
Task 383,2024-11-10 12:30:54.780088,2,High,Urgent meeting
Task 384,2024-10-24 12:30:54.780088,7,High,Team brainstorming
Task 385,2024-11-02 12:30:54.780088,5,Low,Client call
Task 386,2024-10-25 12:30:54.780088,3,Low,Review document
Task 387,2024-10-18 12:30:54.780088,3,High,Client call
Task 388,2024-11-12 12:30:54.780088,7,Low,Team brainstorming
Task 389,2024-11-13 12:30:54.780088,2,Low,Prepare presentation
Task 390,2024-10-22 12:30:54.780088,7,Low,Client call
Task 391,2024-11-03 12:30:54.780088,2,Low,Urgent meeting
Task 392,2024-10-31 12:30:54.780088,7,Low,Client call
Task 393,2024-10-18 12:30:54.780088,3,Medium,Team brainstorming
Task 394,2024-11-05 12:30:54.780088,3,Medium,Review document
Task 395,2024-11-08 12:30:54.780088,6,Low,Prepare presentation
Task 396,2024-11-08 12:30:54.780088,1,Low,Team brainstorming
Task 397,2024-10-27 12:30:54.780088,4,Low,Review document
Task 398,2024-10-29 12:30:54.780088,2,Medium,Prepare presentation
Task 399,2024-11-07 12:30:54.780088,4,Low,Review document
Task 400,2024-11-09 12:30:54.780088,5,High,Team brainstorming
Task 401,2024-10-31 12:30:54.780088,7,Low,Urgent meeting
Task 402,2024-10-25 12:30:54.780088,5,High,Review document
Task 403,2024-11-07 12:30:54.780088,5,Low,Client call
Task 404,2024-11-02 12:30:54.780088,2,Low,Prepare presentation
Task 405,2024-10-21 12:30:54.780088,4,High,Review document
Task 406,2024-11-01 12:30:54.780088,2,Medium,Review document
Task 407,2024-11-14 12:30:54.780088,7,Low,Client call
Task 408,2024-11-14 12:30:54.780088,5,Low,Urgent meeting
Task 409,2024-11-03 12:30:54.780088,3,Medium,Review document
Task 410,2024-10-27 12:30:54.780088,3,Low,Team brainstorming
Task 411,2024-10-26 12:30:54.780088,6,Low,Review document
Task 412,2024-10-27 12:30:54.780088,5,High,Team brainstorming
Task 413,2024-11-03 12:30:54.780088,4,Low,Review document
Task 414,2024-10-29 12:30:54.780088,2,High,Client call
Task 415,2024-10-28 12:30:54.780088,4,High,Client call
Task 416,2024-11-03 12:30:54.780088,1,Medium,Urgent meeting
Task 417,2024-10-27 12:30:54.780088,2,Medium,Urgent meeting
Task 418,2024-11-14 12:30:54.780088,6,Medium,Review document
Task 419,2024-11-04 12:30:54.780088,3,Medium,Team brainstorming
Task 420,2024-11-11 12:30:54.780088,4,High,Urgent meeting
Task 421,2024-10-25 12:30:54.780088,2,Medium,Prepare presentation
Task 422,2024-10-26 12:30:54.780088,7,High,Review document
Task 423,2024-10-25 12:30:54.780088,4,Medium,Urgent meeting
Task 424,2024-10-24 12:30:54.780088,6,Low,Team brainstorming
Task 425,2024-10-27 12:30:54.780088,1,High,Team brainstorming
Task 426,2024-10-18 12:30:54.780088,5,Low,Client call
Task 427,2024-11-14 12:30:54.780088,2,High,Client call
Task 428,2024-11-10 12:30:54.780088,3,High,Urgent meeting
Task 429,2024-10-21 12:30:54.780088,7,Low,Prepare presentation
